cycle,case_id,category,expected_result,actual_rendered_result,verification,steps_status,warning_error_status,duration_ms,status,screenshot_evidence,detail
"1","ARI-0015","arithmetic","10","10","Verification | Verified","visible_1_steps_final_agrees","none_expected","2081","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0016","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","1784","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0017","arithmetic","7","7","Verification | Verified","visible_1_steps_final_agrees","none_expected","2116","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0018","arithmetic","9","9","Verification | Verified","visible_1_steps_final_agrees","none_expected","1881","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0019","arithmetic","11","11","Verification | Verified","visible_1_steps_final_agrees","none_expected","2135","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0020","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","1967","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0021","arithmetic","8","8","Verification | Verified","visible_1_steps_final_agrees","none_expected","2067","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0022","arithmetic","10","10","Verification | Verified","visible_1_steps_final_agrees","none_expected","1948","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0023","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","2067","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0024","arithmetic","14","","not_rendered","not_checked","none","110797","FAIL","/storage/emulated/0/Android/data/com.indianservers.aiexplorer/files/solver-cas-ui/cycle-1-evidence/cycle1_ARI-0024_FAIL.png","ComposeNotIdleException: Global time out: possibly due to compose being busy.
IdlingResourceRegistry has the following idling resources registered:
- [busy] androidx.compose.ui.test.ComposeIdlingResource@2607ce7
All registered idling resources: Compose-Espresso link"
"1","ARI-0025","arithmetic","9","9","Verification | Verified","visible_1_steps_final_agrees","none_expected","4851","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0026","arithmetic","11","11","Verification | Verified","visible_1_steps_final_agrees","none_expected","5034","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0027","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","4900","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0028","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","6538","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0029","arithmetic","10","10","Verification | Verified","visible_1_steps_final_agrees","none_expected","6448","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0030","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","5234","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0031","arithmetic","14","14","Verification | Verified","visible_1_steps_final_agrees","none_expected","5132","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0032","arithmetic","16","16","Verification | Verified","visible_1_steps_final_agrees","none_expected","5035","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0033","arithmetic","11","11","Verification | Verified","visible_1_steps_final_agrees","none_expected","4767","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0034","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","5201","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0035","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","5518","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0036","arithmetic","17","17","Verification | Verified","visible_1_steps_final_agrees","none_expected","4918","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0037","arithmetic","12","12","Verification | Verified","visible_1_steps_final_agrees","none_expected","4484","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0038","arithmetic","14","14","Verification | Verified","visible_1_steps_final_agrees","none_expected","4637","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0039","arithmetic","16","16","Verification | Verified","visible_1_steps_final_agrees","none_expected","4599","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0040","arithmetic","18","18","Verification | Verified","visible_1_steps_final_agrees","none_expected","4867","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0041","arithmetic","13","13","Verification | Verified","visible_1_steps_final_agrees","none_expected","4896","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0042","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","4715","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0043","arithmetic","17","17","Verification | Verified","visible_1_steps_final_agrees","none_expected","4432","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0044","arithmetic","19","19","Verification | Verified","visible_1_steps_final_agrees","none_expected","4733","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0045","arithmetic","14","14","Verification | Verified","visible_1_steps_final_agrees","none_expected","4349","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0046","arithmetic","16","16","Verification | Verified","visible_1_steps_final_agrees","none_expected","4582","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0047","arithmetic","18","18","Verification | Verified","visible_1_steps_final_agrees","none_expected","4601","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0048","arithmetic","20","20","Verification | Verified","visible_1_steps_final_agrees","none_expected","4166","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0049","arithmetic","15","15","Verification | Verified","visible_1_steps_final_agrees","none_expected","4666","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0050","arithmetic","17","17","Verification | Verified","visible_1_steps_final_agrees","none_expected","4667","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0051","arithmetic","19","19","Verification | Verified","visible_1_steps_final_agrees","none_expected","4650","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0052","arithmetic","21","21","Verification | Verified","visible_1_steps_final_agrees","none_expected","4665","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0053","arithmetic","16","16","Verification | Verified","visible_1_steps_final_agrees","none_expected","5450","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0054","arithmetic","18","18","Verification | Verified","visible_1_steps_final_agrees","none_expected","5249","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0055","arithmetic","20","20","Verification | Verified","visible_1_steps_final_agrees","none_expected","4867","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0056","arithmetic","22","22","Verification | Verified","visible_1_steps_final_agrees","none_expected","4833","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0057","arithmetic","17","17","Verification | Verified","visible_1_steps_final_agrees","none_expected","5401","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0058","arithmetic","19","19","Verification | Verified","visible_1_steps_final_agrees","none_expected","4883","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0059","arithmetic","21","21","Verification | Verified","visible_1_steps_final_agrees","none_expected","5100","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0060","arithmetic","23","23","Verification | Verified","visible_1_steps_final_agrees","none_expected","4707","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0061","arithmetic","18","18","Verification | Verified","visible_1_steps_final_agrees","none_expected","4683","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0062","arithmetic","20","20","Verification | Verified","visible_1_steps_final_agrees","none_expected","4683","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0063","arithmetic","22","22","Verification | Verified","visible_1_steps_final_agrees","none_expected","4350","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0064","arithmetic","24","24","Verification | Verified","visible_1_steps_final_agrees","none_expected","5165","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0065","arithmetic","19","19","Verification | Verified","visible_1_steps_final_agrees","none_expected","4870","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0066","arithmetic","21","21","Verification | Verified","visible_1_steps_final_agrees","none_expected","5067","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0067","arithmetic","23","23","Verification | Verified","visible_1_steps_final_agrees","none_expected","4449","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0068","arithmetic","25","25","Verification | Verified","visible_1_steps_final_agrees","none_expected","5003","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0069","arithmetic","20","20","Verification | Verified","visible_1_steps_final_agrees","none_expected","5082","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0070","arithmetic","22","22","Verification | Verified","visible_1_steps_final_agrees","none_expected","5068","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0071","arithmetic","24","24","Verification | Verified","visible_1_steps_final_agrees","none_expected","5082","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0072","arithmetic","26","26","Verification | Verified","visible_1_steps_final_agrees","none_expected","5250","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0073","arithmetic","21","21","Verification | Verified","visible_1_steps_final_agrees","none_expected","5318","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0074","arithmetic","23","23","Verification | Verified","visible_1_steps_final_agrees","none_expected","5264","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0075","arithmetic","25","25","Verification | Verified","visible_1_steps_final_agrees","none_expected","5426","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0076","arithmetic","27","27","Verification | Verified","visible_1_steps_final_agrees","none_expected","6103","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0077","arithmetic","22","22","Verification | Verified","visible_1_steps_final_agrees","none_expected","5716","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0078","arithmetic","24","24","Verification | Verified","visible_1_steps_final_agrees","none_expected","5166","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0079","arithmetic","26","26","Verification | Verified","visible_1_steps_final_agrees","none_expected","5268","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0080","arithmetic","28","28","Verification | Verified","visible_1_steps_final_agrees","none_expected","5280","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0081","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5102","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0082","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5033","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0083","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5567","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0084","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","4932","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0085","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5435","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0086","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","4799","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0087","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5420","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0088","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5334","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0089","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5153","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
"1","ARI-0090","arithmetic","1","1","Verification | Verified","visible_1_steps_final_agrees","none_expected","5104","PASS","","answerMatches=true; stepShape=true; finalAgrees=true"
